id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
31603,About the C++ category,About the C++ category,about-the-c-category,1,0,1,,2018-12-08T06:25:36.198Z,,True,2018-12-08T06:25:36.198Z,regular,False,True,,,True,False,False,,,886,0,False,smth,11,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 1, 'primary_group_id': None}]"
63107,Libtorch for raspberry pi,Libtorch for raspberry pi,libtorch-for-raspberry-pi,6,4,7,,2019-12-05T09:09:12.345Z,2020-09-27T13:06:21.006Z,True,2020-09-27T13:14:48.445Z,regular,False,False,,,True,False,False,,,509,1,False,Flock1,11,False,,True,"[{'extras': None, 'description': 'Original Poster', 'user_id': 17350, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 16109, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 13802, 'primary_group_id': None}]"
97583,Complex support,Complex support,complex-support,1,0,1,,2020-09-27T11:53:08.964Z,2020-09-27T11:53:09.012Z,True,2020-09-27T11:53:09.012Z,regular,False,False,,,True,False,False,,,10,0,False,Anders_G,11,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 24307, 'primary_group_id': None}]"
97582,The missing puzzle about torch::cuda::cudnn_is_available(),The missing puzzle about torch::cuda::cudnn_is_available(),the-missing-puzzle-about-torch-cudnn-is-available,1,0,1,,2020-09-27T08:42:33.004Z,2020-09-27T08:42:33.056Z,True,2020-09-27T08:42:33.056Z,regular,False,False,,,True,False,False,,,13,0,False,dambo,11,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 9368, 'primary_group_id': None}]"
97576,"‘tensor’ is not a class, namespace, or enumeration","‘tensor’ is not a class, namespace, or enumeration",tensor-is-not-a-class-namespace-or-enumeration,3,1,3,,2020-09-26T22:45:28.537Z,2020-09-27T08:02:01.584Z,True,2020-09-27T08:02:01.584Z,regular,False,False,,,True,False,False,,,26,0,False,Flock1,11,False,,False,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13802, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3534, 'primary_group_id': None}]"
84437,[JIT] Inference time in C++ is same as python,[JIT] Inference time in C++ is same as python,jit-inference-time-in-c-is-same-as-python,6,1,6,,2020-06-06T15:29:08.027Z,2020-09-27T07:27:38.714Z,True,2020-09-27T07:27:38.714Z,regular,False,False,,,True,False,False,,,207,1,False,yaoxingtian,11,False,,False,"[{'extras': None, 'description': 'Original Poster', 'user_id': 32676, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 29175, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 616, 'primary_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 36742, 'primary_group_id': None}]"
97017,Missing CUDA path,Missing CUDA path,missing-cuda-path,6,3,6,,2020-09-21T15:23:44.411Z,2020-09-26T22:39:42.143Z,True,2020-09-26T22:39:42.143Z,regular,False,False,,,True,False,False,,,56,0,False,Flock1,11,False,,True,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13802, 'primary_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 9368, 'primary_group_id': None}]"
97568,Libgomp.so.1: version `GOMP_4.0' not found (Building Libtorch from source gcc 7.3.1 and using gcc 4.8.2 at runtime),Libgomp.so.1: version `GOMP_4.0&rsquo; not found (Building Libtorch from source gcc 7.3.1 and using gcc 4.8.2 at runtime),libgomp-so-1-version-gomp-4-0-not-found-building-libtorch-from-source-gcc-7-3-1-and-using-gcc-4-8-2-at-runtime,2,0,2,,2020-09-26T13:47:42.280Z,2020-09-26T14:39:41.347Z,True,2020-09-26T16:12:09.232Z,regular,False,False,,,True,False,False,,,19,0,False,Marouane_Maatouk,11,False,,True,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 36090, 'primary_group_id': None}]"
97529,Loading extra files in TorchScript from libTorch C++,Loading extra files in TorchScript from libTorch C++,loading-extra-files-in-torchscript-from-libtorch-c,1,0,1,,2020-09-25T20:43:26.760Z,2020-09-25T20:43:26.821Z,True,2020-09-25T20:43:26.821Z,regular,False,False,,,True,False,False,,,25,0,False,DTSED,11,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 29593, 'primary_group_id': None}]"
97527,Print tensor to string with size constraints,Print tensor to string with size constraints,print-tensor-to-string-with-size-constraints,1,0,1,,2020-09-25T20:25:11.931Z,2020-09-25T20:25:11.989Z,True,2020-09-25T20:26:38.203Z,regular,False,False,,,True,False,False,,,19,0,False,Anders_G,11,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 24307, 'primary_group_id': None}]"
